variant,pool,labels_in,gmean_rank,pct_of_pool,best,worst,vs_final
"FINAL — 7 cuts, 45/30/25",3228,5,92.3,2.86,12,849,— reference —
"7 cuts, grid optimum 25/2.5/72.5",3228,5,23.1,0.72,2,182,-75%
"7 cuts, TIER baseline only",3228,5,39.4,1.22,2,350,-57%
"7 cuts, logistic-fitted 7/6/87",3228,5,41.8,1.3,2,225,-55%
"7 cuts, market deleted 64/0/36",3228,5,49.0,1.52,4,512,-47%
7 cuts + minutes >= 15,2789,4,46.6,1.67,3,576,-42%
7 cuts + line >= 7.5,2568,5,49.8,1.94,5,572,-32%
"7 cuts, tier blend (5 perf comps)",3228,5,69.3,2.15,8,630,-25%
"7 cuts, motive only",3228,5,82.6,2.56,4,222,-10%
"7 cuts, equal blocks 33/33/33",3228,5,83.3,2.58,12,699,-10%
"no cuts at all (all 15,498)",15494,7,424.7,2.74,19,7028,-4%
7 cuts + tier != bench,3110,4,99.1,3.19,11,780,+12%
6 cuts (before experience cut),4834,5,163.4,3.38,19,1437,+18%
old half-plane gates (gz<0 & ez<0 & mkt>0),2604,5,139.0,5.34,16,1081,+87%
"7 cuts, performance only",3228,5,233.6,7.24,32,1223,+153%
7 cuts + shortfall >= 0.45,983,5,87.6,8.91,12,652,+212%
"7 cuts, market only",3228,5,1116.5,34.59,608,2354,+1109%
